longitude,latitude,loc_time,coord_type
120.783075282,31.564825527,1458833105,1
120.782893447,31.564824037,1458833135,1
120.782702893,31.564822177,1458833165,1
120.782520017,31.564820492,1458833195,1
120.782347629,31.564819816,1458833225,1
120.782177971,31.564819108,1458833255,1
120.782000856,31.564819346,1458833285,1
120.781826517,31.564823904,1458833315,1
120.781651944,31.564829052,1458833345,1
120.781473575,31.564835178,1458833375,1
120.781292661,31.564843534,1458833405,1
120.781114110,31.564852743,1458833435,1
120.780928337,31.564863505,1458833465,1
120.780748245,31.564875868,1458833495,1
120.780577777,31.564889350,1458833525,1
120.780400893,31.564901180,1458833555,1
120.780271690,31.564913029,1458833585,1
120.780147302,31.564930103,1458833615,1
120.780119297,31.564933479,1458833645,1
120.780090660,31.564936345,1458833675,1
120.779910355,31.564948947,1458833705,1
120.779893645,31.564950501,1458833735,1
120.779781342,31.564955441,1458833765,1
120.779736997,31.564958538,1458833795,1
120.779703286,31.564963465,1458833825,1
120.779663780,31.564974282,1458833855,1
120.779635523,31.564987476,1458833885,1
120.779609284,31.565007647,1458833915,1
120.779585716,31.565032286,1458833945,1
120.779565801,31.565061266,1458833975,1
120.779550673,31.565097679,1458834005,1
120.779541693,31.565144298,1458834035,1
120.779537614,31.565197609,1458834065,1
120.779523014,31.565411280,1458834095,1
120.779496350,31.565696675,1458834125,1
120.779452809,31.566054994,1458834155,1
120.779392925,31.566468401,1458834185,1
120.779315053,31.566913632,1458834215,1
120.779219097,31.567365035,1458834245,1
120.779107158,31.567824122,1458834275,1
120.778973689,31.568283910,1458834305,1
120.778822467,31.568758649,1458834335,1
120.778653901,31.569227161,1458834365,1
120.778474526,31.569677340,1458834395,1
120.778284879,31.570104808,1458834425,1
120.778090227,31.570514899,1458834455,1
120.777879450,31.570924245,1458834485,1
120.777662521,31.571317319,1458834515,1
120.777431968,31.571706769,1458834545,1
120.777191745,31.572095940,1458834575,1
120.776948084,31.572477759,1458834605,1
120.776696442,31.572861907,1458834635,1
120.776435649,31.573256225,1458834665,1
120.776171182,31.573654882,1458834695,1
120.775910807,31.574047242,1458834725,1
120.775641089,31.574452507,1458834755,1
120.775370902,31.574858307,1458834785,1
120.775097871,31.575269885,1458834815,1
120.774834190,31.575666735,1458834845,1
120.774574197,31.576059519,1458834875,1
120.774317729,31.576443689,1458834905,1
120.774060327,31.576831860,1458834935,1
120.773805423,31.577212373,1458834965,1
120.773558446,31.577588444,1458834995,1
120.773319890,31.577945752,1458835025,1
120.773079146,31.578308978,1458835055,1
120.772826851,31.578688565,1458835085,1
120.772568223,31.579075317,1458835115,1
120.772315869,31.579455843,1458835145,1
120.772068140,31.579828831,1458835175,1
120.771822237,31.580199101,1458835205,1
120.771569630,31.580579727,1458835235,1
120.771314044,31.580962959,1458835265,1
120.771065931,31.581336151,1458835295,1
120.770843147,31.581670922,1458835325,1
120.770642784,31.581975155,1458835355,1
120.770452367,31.582264206,1458835385,1
120.770264182,31.582550036,1458835415,1
120.770092788,31.582809414,1458835445,1
120.769955895,31.583018224,1458835475,1
120.769840328,31.583192956,1458835505,1
120.769725321,31.583364406,1458835535,1
120.769611357,31.583534751,1458835565,1
120.769484162,31.583728335,1458835595,1
120.769416956,31.583830710,1458835625,1
120.769401332,31.583855383,1458835655,1
120.769385100,31.583885339,1458835685,1
120.769374674,31.583916637,1458835715,1
120.769371615,31.583944070,1458835745,1
120.769374796,31.583973236,1458835775,1
120.769386534,31.584001694,1458835805,1
120.769405722,31.584026742,1458835835,1
